Provider Name,State,Municipality,Product Name,Fcc Unique Plan Id,Monthly Price,Equipment Rental Fees,Equipment Installation Fees,One-time Fees at the Time of Purchase,Early Termination Fee,Provider Fees,Typical Upload Speed,Typical Download Speed,Typical Latency (Multiserver),Charges for Additional Data Usage,Government Taxes,Discounts & Bundles,Data Included with Monthly Price,Network Management,Privacy,Customer Support,FCC Learn More,Monthly Price Terms
GFiber,Texas,Austin,Home 3 Gig,F0021105283EA281D6CBC2900B,$100,$0,$0,$0,$0,$3.09,3418,3423,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
GFiber,Texas,Austin,Core 1 Gig,F0021105283A09CCE1FF000B2B,$70,$0,$0,$0,$0,$2.16,1137,1140,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
GFiber,Texas,Austin,Edge 8 Gig,F002110528369FEECDBD160BB7,$150,$0,$0,$0,$0,$4.64,8119,8086,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
GFiber,Texas,Austin,Business 1 Gig,F00211052832855F9B8F22F62A,$100,$0,$0,$0,$0,$3.09,1137,1140,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
GFiber,Texas,Austin,Business 2 Gig,F00211052839DD458FAC22AC9F,$250,$0,$0,$0,$0,$7.73,1137,2250,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
GFiber,Texas,Bexar County (Unincorprated Area),Home 3 Gig,F0021105283EA281D6CBC2900B,$100,$0,$0,$0,$0,$1,3418,3423,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
GFiber,Texas,Bexar County (Unincorprated Area),Core 1 Gig,F0021105283A09CCE1FF000B2B,$70,$0,$0,$0,$0,$0.70,1137,1140,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
GFiber,Texas,Bexar County (Unincorprated Area),Edge 8 Gig,F002110528369FEECDBD160BB7,$150,$0,$0,$0,$0,$1.50,8119,8086,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
GFiber,Texas,Bexar County (Unincorprated Area),Business 1 Gig,F00211052832855F9B8F22F62A,$100,$0,$0,$0,$0,$1,1137,1140,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
GFiber,Texas,Bexar County (Unincorprated Area),Business 2 Gig,F00211052839DD458FAC22AC9F,$250,$0,$0,$0,$0,$2.50,1137,2250,13,$0/GB,Varies by location,No confusing discounts or bundles to worry about,Unlimited GB,https://fiber.google.com/legal/network/,https://fiber.google.com/legal/privacy/,https://fiber.google.com/support (866) 777-7550 (Residential) | (855) 418-8326 (Business),Learn more about the terms used on this label by visiting the Federal Communications Commission's Consumer Resource Center https://www.fcc.gov/consumers,The Monthly Price is not an introductory rate. The Monthly Price does not require a contract.
